text,month,day,year,slug,url,source_text
Uber stops operation in the Philippines,4,16,2018,uber-stops-operation,https://www.gmanetwork.com/news/money/motoring/650238/uber-officially-ends-phl-operations/story/,"Cabuenas, J. (2018, April 16). Uber officially ends PHL operations. GMA News."
Chief Justice Sereno is removed from office,5,11,2018,sereno-removed,https://www.icj.org/philippines-supreme-court-decision-removing-its-chief-justice-contributes-to-deterioration-of-the-rule-of-law/,"Gil, E. (2018, May 30). Philippines: Supreme Court decision removing its Chief Justice contributes to deterioration of the rule of law. International Commission of Jurists."
The Balangiga Bells are returned to the Philippines,12,18,2018,balangiga-bells-return,https://www.npr.org/2018/12/11/675505073/after-117-years-balangiga-bells-will-be-returned-to-the-philippines,"McCarthy, J. (2018, December 11). U.S. Returns Balangiga Church Bells To The Philippines After More Than A Century. NPR."
Philippines withdraws from ICC membership,3,17,2019,icc-withdrawal,https://www.gmanetwork.com/news/topstories/nation/646575/duterte-announces-phl-withdrawal-from-icc/story/,"Lopez, V. (2019, March 17). Duterte announces PHL withdrawal from ICC. GMA News."
Luzon-wide ECQ is announced due to COVID-19,3,16,2020,luzon-ecq-covid19,https://www.pna.gov.ph/articles/1096801,"Parrocha, A. (2020, March 16). Duterte places entire Luzon under 'enhanced community quarantine'. Philippine News Agency."
ABS CBN's last broadcast,5,5,2020,abs-cbn-last-broadcast,https://www.abs-cbn.com/news/05/05/20/abs-cbn-to-go-off-air-in-compliance-with-ntc-order,"ABS-CBN News. (2020, May 5). ABS-CBN to go off air in compliance with NTC order. ABS-CBN News."
Hidilyn Diaz wins the country's first Olympic gold medal,7,26,2021,hidilyn-diaz-first-gold,https://www.gmanetwork.com/news/sports/othersports/796884/hidilyn-diaz-wins-ph-s-first-olympic-gold-medal/story/,"Micaller, B. (2021, July 26). Hidilyn Diaz wins PH's first Olympic gold medal. GMA News."
The SIM Card Registration Act goes into full effect,12,27,2022,sim-card-registration,https://www.gmanetwork.com/news/topstories/nation/855579/180-day-sim-card-registration-period-starts/story/,"Ombay, G. (2022, December 27). 180-day SIM card registration period starts. GMA News."
The Manila Central Post Office building burns down,5,21,2023,manila-central-post-fire,https://www.dzrh.com.ph/post/manila-post-fire,"Del Mundo, E. (2023, May 21). Fire hits Manila Central Post Office. DZRH."
TVJ resigns from TAPE Inc.'s Eat Bulaga,5,31,2023,TVJ-resigns-TAPE,https://www.gmanetwork.com/news/showbiz/chikaminute/871640/tvj-confirms-they-are-leaving-tape/story/,"Tunac, H. (2023, May 31). TVJ confirms they are leaving TAPE. GMA News."
Maharlika Investment Fund is signed into law,7,18,2023,maharlika-fund-signed,https://www.pna.gov.ph/articles/1205832,"Gita-Carlos, R., & Reganit, C. (2023, July 18). Marcos inks MIF bill into law. Philippine News Agency."
BINI's viral hit Pantropiko is released,11,16,2023,bini-pantropiko,https://www.youtube.com/watch?v=L4KvD79RwbM,"BINI Official. (2023, November 16). Pantropiko. YouTube."
Dismissed mayor Alice Guo is arrested in Indonesia,9,3,2024,alice-guo-arrested,https://www.philstar.com/headlines/2024/09/04/2382801/alice-guo-arrested-indonesia-doj-paocc,"Laqui, I. (2024, September 4). Alice Guo arrested in Indonesia — DOJ, PAOCC. Philstar.com."
President Duterte is detained in the ICC,3,13,2025,duterte-icc,https://www.reuters.com/world/asia-pacific/arrest-philippines-duterte-offers-glimmer-hope-troubled-icc-2025-03-13/,"van den Berg, S. (2025, March 14). Arrest of Philippines' Duterte offers a glimmer of hope at troubled ICC. Reuters."
Death of Juan Ponce Enrile,11,13,2025,enrile-death,https://www.gmanetwork.com/news/topstories/nation/965745/juan-ponce-enrile-dies-at-101/story,"Bajo, A. (2025, November 13). Juan Ponce Enrile dies at 101. GMA News."
